what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330465340423
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330465349035
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330465362988
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330465363031
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330465367544
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330465368760
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330465372440
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330465373722
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330465495276
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330465497909
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330465497990
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1330465498341
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1330465498963
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1330465502198
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330465508837
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330465508892
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1330465508919
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330465512772
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330465516473
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1330465522310
