what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333209463223
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1333209464202
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1333209465150
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1333209481121
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1333209482658
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1333209483078
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333209485044
activated,editor,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui.featureEditor",1333209488635
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333209490691
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333209491682
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333209492013
error,log,,,"/home/kent/ws-ePNK/OWLEditorsFeautures/compile.OWLEditorsFeautures.xml:4: The following error occurred while executing this line:\n/home/kent/ws-ePNK/OWLEditors/build.xml:280: The following error occurred while executing this line:\n/home/kent/ws-ePNK/OWLEditors/build.xml:234: groovyc doesn't support the ""srcdir"" attribute",1333209493450
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333209496535
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333209506447
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333209532595
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333209536200
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333209537274
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333209537605
