what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331549439990
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331549536580
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331549583326
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331549583454
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331549844183
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331549848529
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331549852865
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331549899714
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331549905860
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331549919105
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.2.xx-20100811-1700-e36,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1331549929793
error,log,,,"Could not get element's children.",1331549955092
error,log,,,"Could not get element's children.",1331549955093
error,log,,,"Could not get element's children.",1331549955093
error,log,,,"Could not get element's children.",1331549955094
error,log,,,"Could not get element's children.",1331549955095
error,log,,,"Could not get element's children.",1331549955096
error,log,,,"Could not get element's children.",1331549960084
error,log,,,"Could not get element's children.",1331549960084
error,log,,,"Could not get element's children.",1331549960085
error,log,,,"Could not get element's children.",1331549960085
error,log,,,"Could not get element's children.",1331549960086
error,log,,,"Could not get element's children.",1331549960086
error,log,,,"Could not get element's children.",1331549964695
error,log,,,"Could not get element's children.",1331549964696
error,log,,,"Could not get element's children.",1331549964697
error,log,,,"Could not get element's children.",1331549964698
error,log,,,"Could not get element's children.",1331549964698
error,log,,,"Could not get element's children.",1331549964699
error,log,,,"Could not get element's children.",1331549964700
error,log,,,"Could not get element's children.",1331549964700
error,log,,,"Could not get element's children.",1331549964701
error,log,,,"Could not get element's children.",1331549964702
error,log,,,"Could not get element's children.",1331549964703
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1331549976726
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1331549981356
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1331549991221
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331550028028
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331550059924
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1331550060231
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331550063349
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331550095573
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331550099110
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331550099194
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331550100160
executed,command,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui.runtimeWorkbenchShortcut.run",1331550110540
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331550115297
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331550153483
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331550153559
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.2.xx-20100811-1700-e36,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1331550172697
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331550181310
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331550181515
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331550181672
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331550181843
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331550182007
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331550182165
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331550182349
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331550182517
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331550182684
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331550182861
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331550184895
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331550189989
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331550192612
