what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332843555741
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332843556407
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332843556838
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332843557208
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332843557522
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332843562453
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332843564516
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332843564768
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1332843587332
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1332843587901
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1332843588304
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1332843591816
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332843594213
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332843594923
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1332843605923
executed,command,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui.runtimeWorkbenchShortcut.run",1332843607989
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332843608061
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332843609431
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332843611240
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332843616286
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332843616356
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332843626773
