what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1336658033421
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1336658033424
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1336658212380
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1336658212497
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1336658215155
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1336658215155
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1336658216359
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1336658216359
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1336658229541
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1336658237672
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1336658240220
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1336659230249
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1336659291889
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1336661999240
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1336662002330
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1336671183020
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.2.xx-20100811-1700-e36,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1336671186648
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1336671195521
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.2.xx-20100811-1700-e36,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1336671218361
error,log,,,"Could not get element's children.",1336671321016
error,log,,,"Could not get element's children.",1336671321017
error,log,,,"Could not get element's children.",1336671321018
error,log,,,"Could not get element's children.",1336671321019
error,log,,,"Could not get element's children.",1336671321019
error,log,,,"Could not get element's children.",1336671321020
error,log,,,"Could not get element's children.",1336671321020
error,log,,,"Could not get element's children.",1336671321021
error,log,,,"Could not get element's children.",1336671321021
error,log,,,"Could not get element's children.",1336671321021
error,log,,,"Could not get element's children.",1336671321022
error,log,,,"Could not get element's children.",1336671321022
error,log,,,"Could not get element's children.",1336671321023
error,log,,,"Could not get element's children.",1336671321023
error,log,,,"Could not get element's children.",1336671321024
error,log,,,"Could not get element's children.",1336671321025
error,log,,,"Could not get element's children.",1336671321026
error,log,,,"Could not get element's children.",1336671321026
error,log,,,"Could not get element's children.",1336671321027
error,log,,,"Could not get element's children.",1336671321028
error,log,,,"Could not get element's children.",1336671321028
error,log,,,"Could not get element's children.",1336671321029
error,log,,,"Could not get element's children.",1336671321029
error,log,,,"Could not get element's children.",1336671321030
error,log,,,"Could not get element's children.",1336671321030
error,log,,,"Could not get element's children.",1336671321031
error,log,,,"Could not get element's children.",1336671321032
error,log,,,"Could not get element's children.",1336671321033
error,log,,,"Could not get element's children.",1336671321033
error,log,,,"Could not get element's children.",1336671321034
error,log,,,"Could not get element's children.",1336671321034
error,log,,,"Could not get element's children.",1336671321035
error,log,,,"Could not get element's children.",1336671321036
error,log,,,"Could not get element's children.",1336671321036
error,log,,,"Could not get element's children.",1336671321037
error,log,,,"Could not get element's children.",1336671321038
error,log,,,"Could not get element's children.",1336671323027
error,log,,,"Could not get element's children.",1336671323028
error,log,,,"Could not get element's children.",1336671323029
error,log,,,"Could not get element's children.",1336671323030
error,log,,,"Could not get element's children.",1336671323031
error,log,,,"Could not get element's children.",1336671323032
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1336671332776
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1336671334261
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.2.xx-20100811-1700-e36,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1336671352027
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1336671353194
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1336671354522
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1336671357254
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.2.xx-20100811-1700-e36,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1336671365874
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1336671380386
error,log,,,"Could not get element's children.",1336671384748
error,log,,,"Could not get element's children.",1336671384749
error,log,,,"Could not get element's children.",1336671384750
error,log,,,"Could not get element's children.",1336671384751
error,log,,,"Could not get element's children.",1336671384752
error,log,,,"Could not get element's children.",1336671384753
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1336671384917
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1336671386199
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.2.xx-20100811-1700-e36,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1336671394841
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1336671398620
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1336671399878
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.2.xx-20100811-1700-e36,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1336671428505
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1336671440004
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.2.xx-20100811-1700-e36,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1336671441021
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1336671444804
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1336671450619
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.2.xx-20100811-1700-e36,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1336671450839
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1336671472031
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.2.xx-20100811-1700-e36,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1336671472883
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.2.xx-20100811-1700-e36,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1336671476133
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.2.xx-20100811-1700-e36,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1336671480636
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.2.xx-20100811-1700-e36,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1336671482015
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1336671490463
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1336671490971
